SRA_run_accession,ZfPV,zpico,zpoxv,Any
ERR999294,False,False,False,False
ERR960182,False,False,False,False
SRR22018608,False,False,False,False
ERR1621681,False,False,False,False
SRR5810743,False,False,False,False
ERR959615,False,False,False,False
SRR10852226,False,False,False,False
ERR2304206,False,True,False,True
ERR1124658,False,False,False,False
SRR8788713,False,False,False,False
SRR17248529,False,True,False,True
SRR3231354,False,False,False,False
SRR6469473,False,False,False,False
SRR850601,False,True,False,True
ERR1251945,False,False,False,False
SRR10344674,False,False,False,False
SRR13565145,False,False,False,False
SRR1555595,False,False,False,False
SRR9850665,False,False,False,False
ERR1374484,False,False,False,False
ERR2723876,False,False,False,False
SRR9198813,False,False,False,False
SRR22270149,False,False,False,False
ERR1888376,False,False,False,False
SRR11303104,False,False,False,False
SRR3207420,False,False,False,False
SRR11590413,False,True,False,True
ERR1416125,False,False,False,False
ERR962925,False,False,False,False
SRR5979256,False,True,False,True
ERR871489,False,False,False,False
ERR780139,False,False,False,False
ERR871585,False,False,False,False
SRR8312798,False,False,False,False
SRR11305418,False,False,False,False
ERR1427071,False,False,False,False
SRR15600926,False,False,False,False
SRR18820776,False,False,False,False
ERR1204444,False,False,False,False
SRR17282626,False,False,False,False
ERR853531,False,False,False,False
ERR960016,False,False,False,False
ERR3446731,False,False,False,False
ERR958776,False,False,False,False
ERR1374652,False,False,False,False
SRR9849276,False,False,True,True
SRR14703444,False,False,False,False
SRR8106586,False,False,False,False
ERR853688,False,False,False,False
SRR2834937,False,False,False,False
ERR659948,False,False,False,False
ERR960834,False,False,False,False
SRR8526609,True,False,False,True
ERR1427090,False,False,False,False
ERR035546,False,True,False,True
ERR1203508,False,False,False,False
SRR1871879,False,False,False,False
ERR1621680,False,False,False,False
SRR8106674,False,False,False,False
ERR1475542,False,False,False,False
SRR7789568,False,False,False,False
ERR1427399,False,False,False,False
SRR19641861,False,False,False,False
ERR1108209,False,False,False,False
ERR492332,False,False,False,False
ERR2722989,False,False,False,False
ERR573431,False,False,False,False
SRR7061300,False,False,False,False
ERR1621652,False,False,False,False
SRR12083052,False,False,False,False
ERR590751,False,False,False,False
SRR9198734,False,False,False,False
ERR1416194,False,False,False,False
SRR8663334,False,False,False,False
SRR11302885,False,False,False,False
SRR11033818,False,False,False,False
SRR17247906,False,False,False,False
SRR6655256,False,False,False,False
SRR10527611,False,False,False,False
ERR1407663,False,False,False,False
SRR6655129,False,False,False,False
SRR6176639,False,False,False,False
ERR273880,False,False,False,False
SRR12194821,False,False,False,False
ERR1251944,False,False,False,False
ERR2146925,False,False,False,False
ERR1108720,False,False,False,False
ERR1204389,False,False,False,False
ERR1374578,False,False,False,False
ERR1620578,False,False,False,False
ERR737732,False,False,False,False
SRR10151945,False,False,False,False
ERR1205337,False,False,False,False
SRR11214454,False,False,False,False
SRR12708428,False,False,True,True
ERR1204430,False,False,False,False
SRR13080692,False,False,False,False
SRR6468773,False,False,False,False
SRR11092494,False,False,False,False
SRR12037499,False,False,False,False
ERR4321719,False,False,False,False
ERR1107976,False,False,False,False
SRR6249984,False,False,False,False
SRR5320525,False,False,False,False
ERR959129,False,False,False,False
SRR13565162,False,False,False,False
SRR8182174,False,False,False,False
ERR1888369,False,False,False,False
ERR1218336,False,False,False,False
SRR1524246,False,False,False,False
SRR11302650,False,False,False,False
ERR738223,False,False,False,False
ERR1107987,False,False,False,False
SRR4375305,False,False,False,False
SRR6890858,False,False,False,False
SRR11590416,False,False,False,False
ERR1124465,False,False,False,False
SRR8106429,False,False,False,False
ERR667412,False,False,False,False
ERR1816517,False,False,False,False
SRR5482149,False,True,False,True
SRR2750985,True,False,False,True
ERR202602,False,False,False,False
SRR17085052,False,False,False,False
ERR232310,False,False,False,False
SRR8441462,False,False,False,False
ERR3838753,False,False,False,False
SRR7264568,True,False,False,True
SRR4241543,False,False,False,False
SRR11302957,False,False,False,False
SRR6469449,False,False,False,False
SRR11519041,False,False,False,False
SRR1872655,False,False,False,False
ERR1891643,False,False,False,False
SRR21758108,False,False,False,False
SRR19364716,True,False,False,True
SRR18220755,False,False,False,False
SRR8787624,False,False,False,False
ERR1124581,False,False,False,False
SRR9189639,False,False,False,False
ERR960285,False,False,False,False
SRR6655608,False,False,False,False
ERR1426875,False,False,False,False
SRR21228028,False,False,False,False
SRR10151585,False,False,False,False
SRR9697466,False,False,False,False
SRR8106647,False,False,False,False
SRR11302796,False,False,False,False
ERR1821576,False,False,False,False
SRR13234633,False,False,False,False
SRR7264596,True,False,False,True
ERR8516972,False,False,False,False
ERR517858,False,False,False,False
SRR7008284,False,False,False,False
ERR1216550,False,False,False,False
ERR1889419,False,False,False,False
SRR6327872,False,True,False,True
ERR1889531,False,False,False,False
ERR959619,False,False,False,False
SRR6654603,False,False,False,False
ERR871549,False,False,False,False
SRR11214413,False,False,False,False
ERR959426,False,False,False,False
SRR16681983,False,False,False,False
SRR7947893,True,True,True,True
ERR1122732,False,False,False,False
ERR1821735,False,False,False,False
SRR850603,True,True,False,True
SRR3470781,False,False,False,False
ERR1107878,False,False,False,False
SRR18053105,False,False,False,False
SRR1821817,False,False,False,False
SRR12661579,False,False,False,False
SRR12191839,False,False,False,False
ERR853655,False,False,False,False
ERR1373524,False,False,False,False
ERR596603,False,False,False,False
SRR7637833,True,True,False,True
SRR5443670,False,False,False,False
SRR6908618,False,False,False,False
SRR18927196,False,False,False,False
ERR1374122,False,False,False,False
SRR3228704,False,False,False,False
ERR1888958,False,False,False,False
ERR202530,False,False,False,False
SRR10974001,False,False,False,False
ERR1858127,False,False,False,False
ERR1475846,False,False,False,False
ERR960106,False,False,False,False
SRR10151660,False,False,False,False
ERR1107986,False,False,False,False
ERR959858,False,False,False,False
SRR1871930,False,False,False,False
ERR1124474,False,False,False,False
SRR8928957,False,False,False,False
ERR667414,False,False,False,False
SRR998895,False,False,False,False
SRR8599808,False,False,False,False
SRR3381723,False,False,False,False
ERR960520,False,False,False,False
ERR1099527,False,False,False,False
SRR20083927,False,False,False,False
ERR517884,False,False,False,False
ERR1427391,False,False,False,False
ERR657557,False,False,False,False
ERR1069118,False,False,False,False
SRR1555556,False,False,False,False
ERR1888278,False,False,False,False
ERR2154706,False,False,False,False
SRR11303208,False,False,False,False
SRR5113018,False,False,False,False
SRR1872576,False,False,False,False
SRR6469488,False,False,False,False
SRR17085049,False,False,False,False
