SRA_run_accession,count
SRR5398207,107108
ERR1816517,21276
SRR11267501,222074
ERR1891661,64364
ERR1427129,538074
SRR7891995,27054
ERR1203523,117192
ERR1816527,24144
ERR1475586,13254
ERR1857654,30040
SRR12125380,32283
ERR1251951,16718
SRR1714471,1928444
SRR15831104,278500
SRR6661157,143317
ERR1416127,61288
SRR5961765,132450
SRR21177740,192412
SRR4199305,319681
SRR5342798,509472
SRR7223662,357462
SRR14217617,132929
ERR1416071,25746
SRR12661620,49111
SRR5893155,12814
SRR5921152,355960
SRR6250323,111138
SRR10321294,2652208
SRR13076843,70288
SRR10728576,306544
ERR959780,16
ERR1374632,32020
SRR5822003,171029
SRR1265752,215476
ERR1889691,3414
SRR11267500,322356
SRR11302878,64
SRR9622310,157703
SRR11303137,218
SRR7268873,104612
SRR6417974,289164
SRR1872953,24046
SRR3207412,102856
ERR1889592,67614
SRR15427694,730396
SRR10151927,46580
ERR477374,47372
SRR6654581,23526
ERR780118,114802
ERR2723184,28770
SRR7813741,431338
ERR1821514,21546
SRR8883846,183922
SRR2136296,357028
ERR960726,4226
ERR1621609,57208
ERR1204579,118244
SRR5810832,1250
ERR1204487,81116
ERR853811,41196
SRR9198848,8526
SRR870846,140251
ERR959795,486
SRR23064375,161428
SRR10070561,113466
ERR1216436,75196
SRR1062392,108806
ERR1289946,464400
SRR8197482,235418
SRR3923222,235382
ERR1427197,653132
SRR21092439,13758
SRR1821784,309742
ERR1757576,40332
SRR8787799,76312
SRR9728727,558048
SRR5810693,1774
SRR11303378,256
ERR1889083,261134
SRR16195449,32306
ERR1889518,60090
ERR7384915,685896
ERR1427339,742226
SRR12125403,45510
DRR315796,279594
SRR7905414,706574
SRR16299071,48808
SRR13011474,494302
ERR963136,168
ERR1124422,369114
ERR1621610,43358
ERR2723404,17760
ERR1415032,79410
SRR18063813,572324
ERR1373482,25472
SRR13149764,576852
SRR15498151,336724
SRR11909514,644298
SRR592707,351522
ERR1216398,105828
ERR1373567,42006
ERR1099498,81818
SRR9728711,570272
SRR3679548,409568
ERR1415057,60326
SRR8982956,201192
ERR1821742,24512
ERR590775,38734
SRR13393449,76466
ERR716789,202574
SRR8787618,183671
SRR10199502,252222
SRR9189631,534583
ERR962941,1666
SRR6468944,30
ERR1821906,23524
SRR11926679,183656
SRR11303293,1100
SRR8787582,112495
SRR11909493,227834
ERR959575,1798
ERR1888067,153614
SRR7875954,498666
SRR12193587,322674
SRR10887496,127044
ERR959524,6586
SRR11303212,33
SRR6289786,86764
ERR755664,260588
SRR17282622,220765
SRR870880,961
ERR1373558,37704
SRR6469204,172480
ERR1373753,35706
SRR12876845,515746
SRR16298960,11159
ERR716909,209048
ERR1857573,26754
SRR10753230,43064
ERR1692627,99078
SRR10974076,60604
ERR1108512,295694
SRR11214372,836744
ERR963143,104
SRR15600951,101582
SRR12614065,456326
ERR1475609,25944
SRR6268069,65029
SRR17630944,67885
ERR1692560,86880
SRR959327,73535
SRR19364713,773148
SRR6289711,70714
ERR1888216,79418
ERR960202,1182
ERR2146909,432884
ERR1407616,25766
SRR12194933,339396
ERR1414878,22408
ERR958783,212
SRR8735317,381120
SRR2057604,145298
SRR13594956,9924
SRR15626530,238672
ERR960390,1346
ERR1427152,835908
DRR162549,22728
ERR1857754,28110
SRR8632331,811122
SRR6176691,83188
ERR525416,89292
ERR999371,110070
ERR525411,40436
ERR1426766,97728
ERR1125039,680018
SRR12554277,1278122
ERR1124812,568280
ERR853818,40282
SRR17210890,155822
ERR2154655,366712
SRR10127672,217768
ERR1475514,25910
ERR871325,243162
